model_DE,model,study,country,parameter,site,mean.d,SD.d,total.d,mean.c,SD.c,total.c
Albino rabbit,BAC_albino,choi 2019,Gwangju,IL-1β,conjunctiva ,70,10,6,30,10,6
Albino rabbit,BAC_albino,choi 2019,Gwangju,IL-6,conjunctiva ,20,5,6,5,5,6
Albino rabbit,BAC_albino,choi 2019,Gwangju,TNF-α,conjunctiva ,28,4,6,8,5,6
TSP-1 null mice,TSP-1 null mice,contretas-ruiz 2013,Boston,IFN-γ,conjunctiva ,1.8,0.3,3,0.4,0.001,3
TSP-1 null mice,TSP-1 null mice,contretas-ruiz 2013,Boston,IL-17A,conjunctiva ,1.4,0.2,3,0.5,0.001,3
TSP-1 null mice,TSP-1 null mice,contretas-ruiz 2013,Boston,IL-6,conjunctiva ,0.6,0.05,3,0.3,0.05,3
TSP-1 null mice,TSP-1 null mice,contretas-ruiz 2013,Boston,Th1,conjunctiva ,6,0.01,3,0.6,0.2,3
TSP-1 null mice,TSP-1 null mice,contretas-ruiz 2013,Boston,Th17,conjunctiva ,1.2,0.02,3,0.9,0.001,3
TSP-1 null mice,TSP-1 null mice,contretas-ruiz 2016,Boston,IL-1β,corneal,2.5,0.5,4,1,0.1,4
C57BL/6 mice,SI mice,Coursey 2013,Houston,CD4 T cells,conjunctiva,2,0.1,3,1.2,0.2,3
C57BL/6 mice,SI mice,Coursey 2013,Houston,IFN-γ,ocular suface,2.3,0.5,3,1,0.1,3
C57BL/6 mice,SI mice,Coursey 2013,Houston,IL-13,ocular suface,1.9,0.2,3,1,0.1,3
C57BL/6 mice,SI mice,Coursey 2013,Houston,IL-17A,ocular suface,1.8,0.3,3,1,0.1,3
C57BL/6 mice,SI mice,De Paiva 2006,Houston,IL-1α,corneal,1.6,0.1,5,1,0.1,5
C57BL/6 mice,SI mice,De Paiva 2006,Houston,IL-1β,corneal,1.7,0.4,5,1,0.1,5
C57BL/6 mice,DS mice,De Paiva 2008,Houston,CCL20,corneal,2.52,0.44,8,1,0.52,8
C57BL/6 mice,DS mice,De Paiva 2008,Houston,IFN-γ,corneal,0.21,0.54,8,1,0.35,8
C57BL/6 mice,DS mice,De Paiva 2008,Houston,IL-12,corneal,0.37,0.31,8,1,0.51,8
C57BL/6 mice,DS mice,De Paiva 2008,Houston,IL-15,corneal,0.44,0.27,8,1,0.21,8
C57BL/6 mice,DS mice,De Paiva 2008,Houston,IL-17A,corneal,1.89,0.66,8,1,0.55,8
C57BL/6 mice,DS mice,De Paiva 2008,Houston,IL-2,corneal,1.29,0.35,8,1,0.67,8
C57BL/6 mice,DS mice,De Paiva 2008,Houston,IL-23,corneal,2.24,0.51,8,1,0.49,8
C57BL/6 mice,DS mice,De Paiva 2008,Houston,IL-6,corneal,2.51,0.57,8,1,0.36,8
C57BL/6 mice,DS mice,De Paiva 2008,Houston,TGF-β,corneal,0.47,0.32,8,1,0.29,8
CD25KO mice,CD25KO mice,De Paiva 2010,Houston,CD11b,conjunctiva ,2.6,0.98,20,2.47,1.44,20
CD25KO mice,CD25KO mice,De Paiva 2010,Houston,CD4 T cells,conjunctiva ,2.69,0.99,20,0.9,0.53,20
